"","fips","county_name","state_name","type","relative_mobility","absolute_upward_mobility","top1pc_share","gini","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","foreign_share2010","med_hhinc1990","poor_share2000","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","nonwhite_share2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","stay_cz","leave_cz"
"1",1001,"Autauga","Alabama","metro",0.444,38.4,0.061,0.381,74699.969,28.490602,0.18973459,0.020154603,29718.635194206,0.10375097,0.16422907,0.80433792,0.013819249,0.0042984923,2.7598643,739.36542,0.24081098,0.20416254,0.60958648,82.333183,-0.06331379,0.22753844,73.466034,0.010145103,40.719135,0.6417,0.3583
"2",1003,"Baldwin","Alabama","metro",0.336,39.6,0.127,0.491,76064.086,26.50108,0.23003615,0.037591625,26435.6906244025,0.09859775,0.097916134,0.86590564,0.018494057,0.0035410856,2.7925096,816.84521,0.23788308,0.27532622,0.57702631,80.034088,0.030092912,0.16495213,88.323204,0.012950056,50.085987,0.6575,0.3425
"3",1005,"Barbour","Alabama","micro",0.398,36.1,0.097,0.492,51246.004,24.047514,0.10744983,0.02814395,19026.7497412145,0.27296948,0.4637036,0.50907332,0.016422329,0.0023420302,1.6000091,527.29077,0.39326334,0.37604919,0.453271,74.899071,0.18936642,0.53246897,32.818073,-0.020755908,9.2306719,0.4894,0.5106
"4",1007,"Bibb","Alabama","metro",0.434,39.1,0.066,0.418,55094.492,32.875317,0.070025712,0.0068591884,19696.7850136175,0.21399727,0.22258869,0.7608481,0.0099782664,0.0007675208,1.5316743,604.27759,0.2572943,0.25268301,0.49424064,70.003571,-0.020072633,0.24979271,33.450962,-0.0046446533,12.875392,0.6678,0.3322
"5",1009,"Blount","Alabama","metro",0.317,42,0.063,0.334,62749.727,36.18924,0.096214026,0.047343444,23159.691502392,0.1155434,0.012931854,0.92202812,0.052030329,0.0012271091,2.8154035,567.69586,0.17340772,0.19434378,0.57780957,83.100349,0.0964626,0.11112662,79.148064,-0.008120399,36.175354,0.7404,0.2596
"6",1011,"Bullock","Alabama","rural",0.365,34.2,0.149,0.464,41518.551,26.25119,0.076166436,0.01349327,14736.0778002918,0.34550691,0.73125643,0.23191227,0.028622525,0.0019450312,1.039439,266,0.59602183,0.39213505,0.37466386,47.211689,0.36383346,0.78083199,18.696487,0.026254078,6.9540229,0.5481,0.4519
"7",1013,"Butler","Alabama","rural",0.494,37.9,0.115,0.5,53386.293,26.863214,0.10281672,0.011251595,16564.633026209,0.24775615,0.41309077,0.57476223,0.006658155,0.0020303214,1.5268495,524.55286,0.38733461,0.35295179,0.48403466,69.6987,0.010279955,0.45939752,27.546604,-0.00024342755,10.563457,0.6468,0.3532
"8",1015,"Calhoun","Alabama","metro",0.399,38.3,0.103,0.432,60064.41,24.250038,0.15742382,0.025508069,24578.8736724943,0.16617341,0.17799953,0.78915697,0.015894711,0.0051424825,3.2839758,618.74536,0.30619383,0.31467241,0.54225862,80.268486,0.098773666,0.26386499,189.63713,-0.016005199,72.892357,0.617,0.383
"9",1017,"Chambers","Alabama","micro",0.386,35.4,0.105,0.423,54240.402,23.371609,0.09511444,0.0088536562,21354.5979518344,0.16964421,0.3744528,0.61128759,0.0076860879,0.0015865947,2.1440363,652.08014,0.36535591,0.27802211,0.54817635,80.745163,-0.038835149,0.41858834,61.32613,-0.010350547,23.566212,0.6337,0.3663
"10",1019,"Cherokee","Alabama","rural",0.404,37,0.107,0.406,54810.438,30.194675,0.096435606,0.0049979342,21495.5727038362,0.15568018,0.056788132,0.92434883,0.0086910874,0.0013013354,1.712031,607.31073,0.21528015,0.26244637,0.52871585,79.229576,0.12870842,0.079264298,43.321377,-0.0082949791,19.232437,0.6536,0.3464
"11",1021,"Chilton","Alabama","metro",0.363,40.3,0.066,0.392,58160.18,34.786503,0.099208765,0.039485548,21828.3830167495,0.15689461,0.10240564,0.85921514,0.029297225,0.0015491572,3.1304917,594.58862,0.2250824,0.23589729,0.57104445,80.541008,0.10126027,0.18898793,57.144794,-0.003689972,26.109396,0.7566,0.2434
"12",1023,"Choctaw","Alabama","rural",0.337,40.5,0.074,0.47,53174.992,35.823273,0.094706401,0.0034914624,17503.9181759146,0.24379402,0.43304932,0.55575556,0.0066867131,0.00049170974,1.9019498,496.59229,0.33651438,0.25258994,0.44178951,72.870117,0.4131563,0.44440436,17.429667,-0.017208306,4.6743293,0.5133,0.4867
"13",1025,"Clarke","Alabama","rural",0.387,39.9,0.075,0.465,55590.383,26.946381,0.12044387,0.0023420858,19029.5729689959,0.2244824,0.42990211,0.55741453,0.0064261742,0.0021966975,1.4487185,493.00317,0.30996585,0.37438929,0.49512899,72.677635,0.055336248,0.460264,22.505817,-0.030748706,5.7692385,0.6396,0.3604
"14",1027,"Clay","Alabama","rural",0.356,40.9,0.065,0.385,49747.879,27.168133,0.077876642,0.018981127,19242.0861096585,0.17211582,0.15937528,0.81280237,0.017669385,0.001112991,1.6756015,383.59851,0.25708747,0.2929689,0.52708459,81.160637,0.04678918,0.19710021,23.600863,-0.012092866,8.1843033,0.658,0.342
"15",1029,"Cleburne","Alabama","rural",0.404,43.9,0.039,0.296,54088.742,30.513508,0.092221275,0.010642632,21208.6587630243,0.14004964,0.036951948,0.93886423,0.013225643,0.0014610854,3.0739887,530.44354,0.20058538,0.25270006,0.55804032,78.694389,0.25920442,0.067860015,25.215139,-0.017793171,9.6107836,0.7348,0.2652
"16",1031,"Coffee","Alabama","micro",0.394,41,0.118,0.45,66815.43,22.108135,0.2075303,0.046599746,25665.2009577255,0.14126441,0.17889202,0.76116198,0.028555863,0.0098991264,3.3043158,635.03894,0.27358371,0.3423388,0.52624398,77.192505,0.049714852,0.27656764,64.236626,-0.00018012787,28.138044,0.532,0.468
"17",1033,"Colbert","Alabama","metro",0.419,38.8,0.079,0.426,60925.859,24.397106,0.14280142,0.016148681,23053.6243261058,0.13735613,0.16722186,0.8099224,0.011165569,0.0022265245,2.5650976,599.2428,0.26656562,0.36768466,0.53371429,79.897728,-0.14369418,0.20382892,92.78907,-0.0051766243,37.017036,0.6896,0.3104
